timestamp,pH,TDS_ppm,turbidity_NTU,VOC_mg_L,water_label,filter_methods
2025-12-05 13:24:22,1.060606002807617,6.258556365966797,1.036168098449707,1.991000056266785,rainwater,activated_carbon,0.7741503189060182
2025-12-05 13:24:32,1.060606002807617,6.258556365966797,1.036168098449707,1.991000056266785,rainwater,ultrasonic_filter,1.7182365405511675
2025-12-05 13:24:41,1.060606002807617,6.258556365966797,1.036168098449707,1.991000056266785,rainwater,"coarse_filter,activated_carbon,ro_filter",1.2236128798028953
2025-12-05 13:24:51,1.060606002807617,6.258556365966797,1.036168098449707,1.991000056266785,rainwater,"ultrasonic_filter,activated_carbon,fine_filter",1.2582853308298545
2025-12-05 13:28:27,5.285923957824707,0.0,1.520039081573486,1.991000056266785,rainwater,"ultrasonic_filter,activated_carbon,fine_filter",0.3372232605842455
2025-12-05 13:30:04,12.521994590759277,6.258556365966797,0.938416421413422,1.991000056266785,hardwater,OFF,0.8973769320491255
2025-12-05 13:30:12,12.521994590759277,6.258556365966797,0.938416421413422,1.991000056266785,hardwater,activated_carbon,0.7912384642786914
2025-12-05 13:30:20,12.521994590759277,6.258556365966797,0.938416421413422,1.991000056266785,hardwater,ultrasonic_filter,0.6590223060479393
2025-12-05 13:30:28,12.521994590759277,6.258556365966797,0.938416421413422,1.991000056266785,hardwater,"coarse_filter,activated_carbon,ro_filter",0.7314817622821684
2025-12-05 13:30:36,12.521994590759277,6.258556365966797,0.938416421413422,1.991000056266785,hardwater,"ultrasonic_filter,activated_carbon,fine_filter",0.8163583582666422
