timestamp,combo,pH_before,TDS_before,turbidity_before,VOC_before,pH_after,TDS_after,turbidity_after,VOC_after,improvement,accepted
2025-12-05 11:46:11,ultrasonic_filter,6.260997295379639,0.0,0.982404708862305,1.962000012397766,6.141251087188721,0.0,0.972629547119141,2.023000001907349,0.0021470725869731978,0
2025-12-05 11:46:19,"coarse_filter,activated_carbon,ro_filter",6.260997295379639,0.0,0.982404708862305,1.962000012397766,6.055718421936035,0.0,0.977517127990723,2.035000085830688,0.0010735362934865989,0
2025-12-05 11:46:27,"ultrasonic_filter,activated_carbon,fine_filter",6.260997295379639,0.0,0.982404708862305,1.962000012397766,5.953079223632812,0.0,0.972629547119141,2.035000085830688,0.0021470725869731978,0
2025-12-05 11:46:32,OFF,5.953079223632812,0.0,0.972629547119141,2.035000085830688,6.038611888885498,0.0,0.982404708862305,2.065999984741211,0.0047892674272464325,0
2025-12-05 11:46:40,activated_carbon,5.953079223632812,0.0,0.972629547119141,2.035000085830688,6.089931488037109,0.0,0.967741906642914,2.08299994468689,0.008729506559355388,0
2025-12-05 11:46:48,ultrasonic_filter,5.953079223632812,0.0,0.972629547119141,2.035000085830688,5.884653091430664,0.0,0.982404708862305,2.109999895095825,0.0,0
2025-12-05 11:46:56,"coarse_filter,activated_carbon,ro_filter",5.953079223632812,0.0,0.972629547119141,2.035000085830688,6.072824954986572,2.092235326766968,0.977517127990723,2.109999895095825,0.006704974398144988,0
2025-12-05 11:47:04,"ultrasonic_filter,activated_carbon,fine_filter",5.953079223632812,0.0,0.972629547119141,2.035000085830688,6.141251087188721,0.0,0.977517127990723,2.082000017166138,0.010536388339942101,0
2025-12-05 11:47:10,OFF,6.072824954986572,0.0,0.972629547119141,0.908999979496002,5.935972690582275,0.0,0.977517127990723,0.71399998664856,0.5357141453580079,1
2025-12-05 11:47:18,activated_carbon,6.072824954986572,0.0,0.972629547119141,0.908999979496002,5.901759624481201,0.0,0.977517127990723,2.66100001335144,0.0,0
2025-12-05 11:47:26,ultrasonic_filter,6.072824954986572,0.0,0.972629547119141,0.908999979496002,5.918866157531738,0.0,0.967741906642914,2.891000032424927,0.0008000090068208419,0
2025-12-05 11:47:34,"coarse_filter,activated_carbon,ro_filter",6.072824954986572,0.0,0.972629547119141,0.908999979496002,5.97018575668335,0.0,1.35874879360199,2.828999996185303,0.0,0
2025-12-05 11:47:42,"ultrasonic_filter,activated_carbon,fine_filter",6.072824954986572,0.0,0.972629547119141,0.908999979496002,5.987292289733887,0.0,1.089931607246399,2.427999973297119,0.0,0
2025-12-05 11:48:57,OFF,4.310850620269775,42.725364685058594,1.041055679321289,3.121999979019165,4.310850620269775,42.725364685058594,1.041055679321289,3.121999979019165,0.0,0
2025-12-05 11:49:05,activated_carbon,4.310850620269775,42.725364685058594,1.041055679321289,3.121999979019165,6.346529960632324,42.725364685058594,1.045943260192871,1.238999962806702,0.1574073981896373,1
2025-12-05 11:49:14,ultrasonic_filter,4.310850620269775,42.725364685058594,1.041055679321289,3.121999979019165,6.107038021087646,42.725364685058594,1.168132901191711,1.618000030517578,0.13888886123557861,0
2025-12-05 11:49:22,"coarse_filter,activated_carbon,ro_filter",4.310850620269775,42.725364685058594,1.041055679321289,3.121999979019165,6.089931488037109,42.725364685058594,1.212121248245239,1.718000054359436,0.13756611122965165,0
2025-12-05 11:49:30,"ultrasonic_filter,activated_carbon,fine_filter",4.310850620269775,42.725364685058594,1.041055679321289,3.121999979019165,6.004398822784424,42.725364685058594,1.246334314346313,1.871000051498413,0.13095236120001652,0
2025-12-05 11:49:34,OFF,6.004398822784424,42.725364685058594,1.246334314346313,1.871000051498413,6.055718421936035,42.725364685058594,1.251221895217896,1.901999950408936,0.002849000133972494,0
2025-12-05 11:49:42,activated_carbon,6.004398822784424,42.725364685058594,1.246334314346313,1.871000051498413,6.038611888885498,42.725364685058594,1.246334314346313,1.934999942779541,0.0018993334226483293,0
2025-12-05 11:49:50,ultrasonic_filter,6.004398822784424,42.725364685058594,1.246334314346313,1.871000051498413,5.97018575668335,42.725364685058594,1.231671571731567,2.013000011444092,0.0038986317704257385,0
2025-12-05 11:49:58,"coarse_filter,activated_carbon,ro_filter",6.004398822784424,42.725364685058594,1.246334314346313,1.871000051498413,6.038611888885498,42.725364685058594,1.221896409988403,2.006999969482422,0.008397053040024487,0
2025-12-05 11:50:06,"ultrasonic_filter,activated_carbon,fine_filter",6.004398822784424,42.725364685058594,1.246334314346313,1.871000051498413,5.987292289733887,42.725364685058594,1.231671571731567,2.072000026702881,0.0038986317704257385,0
2025-12-05 11:50:11,OFF,5.987292289733887,42.725364685058594,1.231671571731567,2.072000026702881,6.004398822784424,42.725364685058594,1.231671571731567,2.051000118255615,0.0009523800421919623,0
2025-12-05 11:50:19,activated_carbon,5.987292289733887,42.725364685058594,1.231671571731567,2.072000026702881,6.021505355834961,38.76057434082031,1.236559152603149,2.098999977111816,0.008280826212324179,0
2025-12-05 11:50:27,ultrasonic_filter,5.987292289733887,42.725364685058594,1.231671571731567,2.072000026702881,5.953079223632812,42.725364685058594,1.241446733474731,2.125999927520752,0.0,0
