epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8720.51,1.47905,0.7831,0.96705,0.50433,0.55925,0.55615,0.34595,1.42657,1.52493,1.10407,0.000119695,0.000119695,0.000119695
43,8927.28,1.47056,0.78122,0.96478,0.53113,0.52897,0.54973,0.34306,1.42542,1.5267,1.10229,0.00011359,0.00011359,0.00011359
44,9134.56,1.4703,0.7845,0.96244,0.49873,0.57254,0.5578,0.34828,1.42114,1.51269,1.10844,0.000107485,0.000107485,0.000107485
45,9341.73,1.46309,0.76849,0.96402,0.50304,0.57973,0.55594,0.3457,1.42256,1.50312,1.10202,0.00010138,0.00010138,0.00010138
46,9547.86,1.4594,0.77348,0.96357,0.50984,0.57159,0.55817,0.34877,1.43468,1.47762,1.10643,9.5275e-05,9.5275e-05,9.5275e-05
47,9755.13,1.45393,0.7637,0.95649,0.61262,0.5628,0.55229,0.34582,1.43916,1.50176,1.11774,8.917e-05,8.917e-05,8.917e-05
48,9963.22,1.44979,0.75893,0.96678,0.5158,0.5527,0.55511,0.34303,1.43701,1.5067,1.11287,8.3065e-05,8.3065e-05,8.3065e-05
49,10170.8,1.44532,0.75506,0.96397,0.6363,0.53555,0.55355,0.34555,1.4258,1.50265,1.10596,7.696e-05,7.696e-05,7.696e-05
50,10378.8,1.43263,0.74237,0.95875,0.53164,0.54177,0.55167,0.34572,1.42561,1.50482,1.10613,7.0855e-05,7.0855e-05,7.0855e-05
51,10583.4,1.44753,0.71941,0.95769,0.51877,0.55009,0.54665,0.34562,1.44051,1.51817,1.11755,6.475e-05,6.475e-05,6.475e-05
52,10784.1,1.4275,0.70653,0.9561,0.5322,0.55124,0.55438,0.35066,1.43666,1.53354,1.11367,5.8645e-05,5.8645e-05,5.8645e-05
53,10985.9,1.41897,0.6935,0.95662,0.52504,0.5477,0.54792,0.34866,1.43928,1.54537,1.11785,5.254e-05,5.254e-05,5.254e-05
54,11187.5,1.42278,0.69313,0.9563,0.51721,0.54762,0.54437,0.34716,1.42818,1.54561,1.11459,4.6435e-05,4.6435e-05,4.6435e-05
55,11388,1.41188,0.68279,0.95556,0.53707,0.52152,0.54019,0.34507,1.43758,1.60013,1.12329,4.033e-05,4.033e-05,4.033e-05
56,11589.4,1.40127,0.6802,0.95146,0.52512,0.54321,0.54019,0.34559,1.44193,1.60405,1.12447,3.4225e-05,3.4225e-05,3.4225e-05
57,11790.4,1.39286,0.67241,0.95013,0.53606,0.52954,0.54065,0.34675,1.43464,1.58535,1.12092,2.812e-05,2.812e-05,2.812e-05
58,11991.6,1.39387,0.67046,0.95004,0.5288,0.5406,0.54268,0.34667,1.43915,1.59182,1.12336,2.2015e-05,2.2015e-05,2.2015e-05
59,12193.5,1.38995,0.66486,0.94864,0.52301,0.53886,0.54122,0.34658,1.44488,1.59711,1.12905,1.591e-05,1.591e-05,1.591e-05
60,12394.1,1.38527,0.65939,0.95018,0.52554,0.53665,0.54117,0.34685,1.44521,1.60726,1.12956,9.805e-06,9.805e-06,9.805e-06
